word,bound,flag,label,radical,pinyin
基,B,n,O,土,jī
金,M,n,O,金,jīn
项,M,n,O,页,xiàng
目,E,n,O,目,mù
:,S,x,O,UNK,UNK
公,B,n,O,八,gōng
益,M,n,O,皿,yì
性,E,n,O,忄,xìng
卫,B,an,O,卩,wèi
生,E,an,O,生,shēng
行,B,n,O,行,háng
业,E,n,O,一,yè
科,B,n,O,禾,kē
研,E,n,O,石,yán
专,B,n,O,一,zhuān
项,E,n,O,页,xiàng
(,S,x,O,UNK,UNK
NUM,B,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,E,m,O,UNK,UNK
),S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
院,B,n,O,阝,yuàn
核,E,n,O,木,hé
医,B,n,O,匚,yī
学,M,n,O,子,xué
科,E,n,O,禾,kē
(,S,x,O,UNK,UNK
黄,B,nr,O,黄,huáng
钢,E,nr,O,钅,gāng
),S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
NUM,B,m,B-Drug,UNK,UNK
NUM,M,m,I-Drug,UNK,UNK
NUM,E,m,I-Drug,UNK,UNK
SPACE,S,x,I-Drug,UNK,UNK
I,S,x,I-Drug,UNK,UNK
SPACE,S,x,O,UNK,UNK
治,B,v,O,氵,zhì
疗,E,v,O,疒,liáo
格,B,nrt,B-Disease,木,gé
雷,M,nrt,I-Disease,雨,léi
夫,M,nrt,I-Disease,大,fū
斯,E,nrt,I-Disease,斤,sī
甲,B,n,I-Disease,田,jiǎ
亢,E,n,I-Disease,亠,kàng
指,B,n,O,扌,zhǐ
南,E,n,O,十,nán
LB,S,x,O,UNK,UNK
(,S,x,O,UNK,UNK
NUM,B,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
版,S,n,O,片,bǎn
),S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
中,B,nt,O,丨,zhōng
华,M,nt,O,十,huá
医,M,nt,O,匚,yī
学,M,nt,O,子,xué
会,E,nt,O,人,huì
核,B,n,O,木,hé
医,M,n,O,匚,yī
学,E,n,O,子,xué
分,B,n,O,刀,fēn
会,E,n,O,人,huì
LB,S,x,O,UNK,UNK
编,B,v,O,纟,biān
写,E,v,O,冖,xiě
委,B,n,O,女,wěi
员,M,n,O,口,yuán
会,E,n,O,人,huì
LB,S,x,O,UNK,UNK
蒋,B,nr,O,艹,jiǎng
宁,E,nr,O,宀,níng
一,S,m,O,一,yī
SPACE,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
NUM,B,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,M,m,O,UNK,UNK
NUM,E,m,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
广,B,ns,O,广,guǎng
州,E,ns,O,川,zhōu
