word,bound,flag,label,radical,pinyin
降,B,n,B-Drug,阝,jiàng
糖,M,n,I-Drug,米,táng
药,E,n,I-Drug,艹,yào
物,S,ng,I-Drug,牜,wù
的,S,uj,O,白,dí
中,B,ns,O,丨,zhōng
国,E,ns,O,囗,guó
指,B,n,O,扌,zhǐ
南,E,n,O,十,nán
/,S,x,O,UNK,UNK
共,B,n,O,八,gòng
识,E,n,O,讠,shí
(,S,x,O,UNK,UNK
下,S,f,O,一,xià
),S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
画,B,n,O,田,huà
文,E,n,O,文,wén
:,S,x,O,UNK,UNK
徐,B,nr,O,彳,xú
赫,M,nr,O,赤,hè
男,E,nr,O,田,nán
LB,S,x,O,UNK,UNK
近,B,t,O,辶,jìn
年,M,t,O,干,nián
来,E,t,O,木,lái
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
出,B,v,O,凵,chū
现,E,v,O,见,xiàn
了,S,ul,O,乙,liǎo
很,B,m,O,彳,hěn
多,E,m,O,夕,duō
新,B,b,B-Drug,斤,xīn
型,E,b,I-Drug,土,xíng
降,B,n,I-Drug,阝,jiàng
糖,M,n,I-Drug,米,táng
药,E,n,I-Drug,艹,yào
物,S,zg,I-Drug,牜,wù
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
这,S,r,O,辶,zhè
对,B,p,O,寸,duì
于,E,p,O,二,yú
医,B,n,O,匚,yī
生,E,n,O,生,shēng
和,S,c,O,口,hé
患,B,n,O,心,huàn
者,E,n,O,耂,zhě
来,B,u,O,木,lái
说,E,u,O,讠,shuō
都,S,d,O,阝,dū
是,S,v,O,日,shì
“,S,x,O,UNK,UNK
幸,B,a,O,干,xìng
福,E,a,O,礻,fú
的,S,uj,O,白,dí
烦,B,a,O,火,fán
恼,E,a,O,忄,nǎo
”,S,x,O,UNK,UNK
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
因,B,c,O,囗,yīn
为,E,c,O,丶,wéi
LB,S,x,O,UNK,UNK
面,B,v,O,面,miàn
对,E,v,O,寸,duì
各,B,r,O,口,gè
种,E,r,O,禾,zhǒng
降,B,n,B-Drug,阝,jiàng
糖,M,n,I-Drug,米,táng
药,E,n,I-Drug,艹,yào
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
不,S,d,O,一,bù
知,B,v,O,矢,zhī
道,E,v,O,辶,dào
该,S,r,O,讠,gāi
选,S,v,O,辶,xuǎn
哪,B,r,O,口,nǎ
种,E,r,O,禾,zhǒng
才,S,d,O,扌,cái
好,S,a,O,女,hǎo
",",S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
对,B,p,O,寸,duì
于,E,p,O,二,yú
药,B,n,O,艹,yào
物,E,n,O,牜,wù
的,S,uj,O,白,dí
